school_year,division_name,school_name,gender,total_count,total_count_stem,total_count_non_stem,pass_advanced_count,pass_advanced_count_stem,pass_advanced_count_non_stem,pass_proficient_count,fail_count,pass_count,pass_count_stem,pass_count_non_stem,year,test_level,test_source,school_level,CS_enrollment_rate,pass_advanced_rate,pass_advanced_rate_stem,pass_advanced_rate_non_stem,pass_rate,pass_rate_stem,pass_rate_non_stem
2021-2022,Rockingham County,Broadway High,M,514,260,254,62,20,42,338,114,400,195,205,2022,EOC,SOL,High School,,12.062256809338521,7.6923076923076925,16.535433070866144,77.82101167315176,75.0,80.70866141732283
2021-2022,Rockingham County,East Rockingham High,F,432,211,221,56,18,38,292,84,348,170,178,2022,EOC,SOL,High School,,12.962962962962962,8.530805687203792,17.194570135746606,80.55555555555556,80.56872037914692,80.54298642533936
2021-2022,Rockingham County,East Rockingham High,M,402,222,180,42,12,30,310,50,352,188,164,2022,EOC,SOL,High School,,10.44776119402985,5.405405405405405,16.666666666666664,87.56218905472637,84.68468468468468,91.11111111111111
2021-2022,Rockingham County,Spotswood High,F,456,223,233,67,24,43,303,86,370,184,186,2022,EOC,SOL,High School,1.0683760683760684,14.692982456140353,10.762331838565023,18.4549356223176,81.14035087719299,82.51121076233184,79.82832618025752
2021-2022,Rockingham County,Spotswood High,M,498,242,256,63,21,42,334,101,397,193,204,2022,EOC,SOL,High School,3.925619834710744,12.650602409638553,8.677685950413224,16.40625,79.71887550200803,79.75206611570248,79.6875
2021-2022,Rockingham County,Turner Ashby High,F,471,241,230,55,13,42,325,91,380,207,173,2022,EOC,SOL,High School,,11.67728237791932,5.394190871369295,18.26086956521739,80.67940552016985,85.89211618257261,75.21739130434783
2021-2022,Rockingham County,Turner Ashby High,M,574,306,268,67,28,39,424,83,491,258,233,2022,EOC,SOL,High School,,11.67247386759582,9.15032679738562,14.55223880597015,85.54006968641114,84.31372549019608,86.94029850746269
2021-2022,Russell County,Castlewood High,F,205,137,68,3,1,2,150,52,153,109,44,2022,EOC,SOL,High School,,1.4634146341463417,0.7299270072992701,2.941176470588235,74.63414634146342,79.56204379562044,64.70588235294117
2021-2022,Russell County,Castlewood High,M,211,133,78,13,6,7,145,53,158,105,53,2022,EOC,SOL,High School,,6.161137440758294,4.511278195488721,8.974358974358974,74.88151658767772,78.94736842105263,67.94871794871796
2021-2022,Russell County,Honaker High,F,250,164,86,21,4,17,187,42,208,136,72,2022,EOC,SOL,High School,,8.4,2.4390243902439024,19.767441860465116,83.2,82.92682926829268,83.72093023255815
2021-2022,Russell County,Honaker High,M,305,200,105,17,5,12,227,61,244,160,84,2022,EOC,SOL,High School,,5.573770491803279,2.5,11.428571428571429,80.0,80.0,80.0
2021-2022,Russell County,Lebanon High,F,356,222,134,26,6,20,262,68,288,184,104,2022,EOC,SOL,High School,,7.303370786516854,2.7027027027027026,14.925373134328357,80.89887640449437,82.88288288288288,77.61194029850746
2021-2022,Russell County,Lebanon High,M,387,261,126,22,8,14,294,71,316,215,101,2022,EOC,SOL,High School,,5.684754521963824,3.065134099616858,11.11111111111111,81.65374677002583,82.37547892720306,80.15873015873017
2021-2022,Salem City,Salem High,F,685,491,194,93,52,41,494,98,587,425,162,2022,EOC,SOL,High School,0.8488964346349746,13.576642335766422,10.590631364562118,21.1340206185567,85.69343065693431,86.55804480651732,83.50515463917526
2021-2022,Salem City,Salem High,M,729,517,212,86,46,40,499,144,585,425,160,2022,EOC,SOL,High School,6.797583081570997,11.796982167352537,8.897485493230175,18.867924528301888,80.24691358024691,82.20502901353966,75.47169811320755
2021-2022,Scott County,Gate City High,F,353,186,167,34,9,25,255,64,289,154,135,2022,EOC,SOL,High School,13.758389261744966,9.631728045325778,4.838709677419355,14.97005988023952,81.86968838526913,82.79569892473118,80.83832335329342
2021-2022,Scott County,Gate City High,M,339,185,154,40,14,26,227,72,267,129,138,2022,EOC,SOL,High School,7.183908045977011,11.799410029498524,7.567567567567568,16.883116883116884,78.76106194690266,69.72972972972973,89.6103896103896
2021-2022,Scott County,Rye Cove High,F,115,53,62,7,1,6,71,37,78,41,37,2022,EOC,SOL,High School,21.367521367521366,6.086956521739131,1.8867924528301887,9.67741935483871,67.82608695652173,77.35849056603774,59.67741935483871
2021-2022,Scott County,Rye Cove High,M,93,50,43,11,4,7,67,15,78,37,41,2022,EOC,SOL,High School,14.5985401459854,11.827956989247312,8.0,16.27906976744186,83.87096774193549,74.0,95.34883720930233
2021-2022,Scott County,Twin Springs High,F,85,42,43,8,2,6,60,17,68,37,31,2022,EOC,SOL,High School,8.73015873015873,9.411764705882353,4.761904761904762,13.953488372093023,80.0,88.09523809523809,72.09302325581395
2021-2022,Scott County,Twin Springs High,M,87,49,38,12,5,7,56,19,68,38,30,2022,EOC,SOL,High School,16.80672268907563,13.793103448275861,10.204081632653061,18.421052631578945,78.16091954022988,77.55102040816327,78.94736842105263
2021-2022,Shenandoah County,Central High,F,461,239,222,31,9,22,264,166,295,159,136,2022,EOC,SOL,High School,0.0,6.724511930585683,3.765690376569038,9.90990990990991,63.99132321041214,66.52719665271967,61.261261261261254
2021-2022,Shenandoah County,Central High,M,475,258,217,28,7,21,266,181,294,157,137,2022,EOC,SOL,High School,0.2518891687657431,5.894736842105263,2.7131782945736433,9.67741935483871,61.89473684210526,60.85271317829457,63.133640552995395
2021-2022,Shenandoah County,Mountain View High,F,284,158,126,31,11,20,187,66,218,119,99,2022,EOC,SOL,High School,0.33670033670033667,10.915492957746478,6.962025316455696,15.873015873015872,76.76056338028168,75.31645569620254,78.57142857142857
2021-2022,Shenandoah County,Mountain View High,M,271,141,130,40,12,28,180,51,220,112,108,2022,EOC,SOL,High School,1.2738853503184715,14.760147601476014,8.51063829787234,21.53846153846154,81.18081180811808,79.43262411347519,83.07692307692308
2021-2022,Shenandoah County,Strasburg High,F,341,172,169,11,3,8,225,105,236,121,115,2022,EOC,SOL,High School,0.0,3.225806451612903,1.744186046511628,4.733727810650888,69.20821114369502,70.34883720930233,68.04733727810651
2021-2022,Shenandoah County,Strasburg High,M,307,157,150,18,6,12,203,86,221,117,104,2022,EOC,SOL,High School,0.6666666666666667,5.863192182410423,3.821656050955414,8.0,71.9869706840391,74.52229299363057,69.33333333333334
2021-2022,Smyth County,Chilhowie High,F,148,104,44,12,1,11,105,31,117,81,36,2022,EOC,SOL,High School,0.0,8.108108108108109,0.9615384615384616,25.0,79.05405405405406,77.88461538461539,81.81818181818183
2021-2022,Smyth County,Chilhowie High,M,199,136,63,13,2,11,141,45,154,101,53,2022,EOC,SOL,High School,0.91324200913242,6.532663316582915,1.4705882352941175,17.46031746031746,77.38693467336684,74.26470588235294,84.12698412698413
2021-2022,Smyth County,Marion Senior High,F,256,189,67,12,1,11,163,81,175,122,53,2022,EOC,SOL,High School,0.6557377049180327,4.6875,0.5291005291005291,16.417910447761194,68.359375,64.55026455026454,79.1044776119403
2021-2022,Smyth County,Marion Senior High,M,316,228,88,26,6,20,201,89,227,153,74,2022,EOC,SOL,High School,1.183431952662722,8.227848101265822,2.631578947368421,22.727272727272727,71.83544303797468,67.10526315789474,84.0909090909091
2021-2022,Smyth County,Northwood High,F,82,59,23,6,1,5,60,16,66,46,20,2022,EOC,SOL,High School,0.0,7.317073170731707,1.694915254237288,21.73913043478261,80.48780487804879,77.96610169491525,86.95652173913044
2021-2022,Smyth County,Northwood High,M,96,60,36,6,1,5,75,15,81,48,33,2022,EOC,SOL,High School,1.5037593984962405,6.25,1.6666666666666667,13.88888888888889,84.375,80.0,91.66666666666666
2021-2022,Southampton County,Southampton High,F,480,199,281,31,2,29,313,136,344,153,191,2022,EOC,SOL,High School,0.0,6.458333333333334,1.0050251256281406,10.320284697508896,71.66666666666667,76.88442211055276,67.97153024911033
2021-2022,Southampton County,Southampton High,M,521,206,315,33,3,30,315,173,348,154,194,2022,EOC,SOL,High School,0.25252525252525254,6.333973128598848,1.4563106796116505,9.523809523809524,66.79462571976967,74.75728155339806,61.58730158730159
2021-2022,Spotsylvania County,Chancellor High,F,878,356,522,83,10,73,539,256,622,245,377,2022,EOC,SOL,High School,7.175572519083969,9.453302961275627,2.8089887640449436,13.984674329501914,70.84282460136674,68.82022471910112,72.22222222222221
2021-2022,Spotsylvania County,Chancellor High,M,1000,426,574,72,14,58,581,347,653,265,388,2022,EOC,SOL,High School,22.765363128491618,7.199999999999999,3.286384976525822,10.104529616724738,65.3,62.20657276995305,67.59581881533101
2021-2022,Spotsylvania County,Courtland High,F,986,397,589,107,20,87,622,257,729,280,449,2022,EOC,SOL,High School,11.440107671601615,10.851926977687627,5.037783375314862,14.770797962648558,73.93509127789046,70.52896725440806,76.23089983022071
2021-2022,Spotsylvania County,Courtland High,M,988,415,573,105,25,80,614,269,719,287,432,2022,EOC,SOL,High School,32.953105196451205,10.62753036437247,6.024096385542169,13.961605584642234,72.77327935222672,69.1566265060241,75.39267015706807
2021-2022,Spotsylvania County,Massaponax High,F,1039,433,606,115,14,101,621,303,736,286,450,2022,EOC,SOL,High School,11.153358681875792,11.068334937439845,3.233256351039261,16.666666666666664,70.83734359961501,66.05080831408776,74.25742574257426
2021-2022,Spotsylvania County,Massaponax High,M,1137,481,656,97,17,80,684,356,781,314,467,2022,EOC,SOL,High School,25.955056179775283,8.53122251539138,3.5343035343035343,12.195121951219512,68.68953386103782,65.28066528066529,71.1890243902439
2021-2022,Spotsylvania County,Riverbend High,F,1271,513,758,171,30,141,815,285,986,387,599,2022,EOC,SOL,High School,8.073196986006458,13.453973249409914,5.847953216374268,18.601583113456467,77.57671125098348,75.43859649122807,79.02374670184696
2021-2022,Spotsylvania County,Riverbend High,M,1299,531,768,147,36,111,819,333,966,372,594,2022,EOC,SOL,High School,24.41505595116989,11.316397228637413,6.779661016949152,14.453125,74.364896073903,70.05649717514125,77.34375
2021-2022,Spotsylvania County,Spotsylvania High,F,901,391,510,87,11,76,590,224,677,293,384,2022,EOC,SOL,High School,10.491803278688524,9.65593784683685,2.813299232736573,14.901960784313726,75.13873473917869,74.93606138107417,75.29411764705883
2021-2022,Spotsylvania County,Spotsylvania High,M,975,404,571,74,12,62,532,369,606,231,375,2022,EOC,SOL,High School,20.535714285714285,7.58974358974359,2.9702970297029703,10.85814360770578,62.153846153846146,57.17821782178218,65.67425569176882
2021-2022,Stafford County,Brooke Point High,F,1455,851,604,99,20,79,918,438,1017,555,462,2022,EOC,SOL,High School,12.550200803212853,6.804123711340206,2.3501762632197414,13.079470198675496,69.89690721649484,65.21739130434783,76.49006622516556
2021-2022,Stafford County,Brooke Point High,M,1568,943,625,157,52,105,970,441,1127,641,486,2022,EOC,SOL,High School,31.844106463878326,10.012755102040815,5.514316012725344,16.8,71.875,67.9745493107105,77.75999999999999
2021-2022,Stafford County,Colonial Forge High,F,1347,797,550,154,48,106,927,266,1081,640,441,2022,EOC,SOL,High School,8.704253214638971,11.432813659985152,6.022584692597239,19.272727272727273,80.25241276911656,80.30112923462987,80.18181818181817
2021-2022,Stafford County,Colonial Forge High,M,1351,769,582,172,68,104,896,283,1068,610,458,2022,EOC,SOL,High School,26.113360323886642,12.731310140636564,8.84265279583875,17.869415807560138,79.05255366395264,79.32379713914173,78.69415807560138
2021-2022,Stafford County,Mountain View High,F,1285,743,542,128,37,91,897,260,1025,595,430,2022,EOC,SOL,High School,10.628019323671497,9.961089494163424,4.979811574697174,16.789667896678967,79.76653696498055,80.08075370121131,79.33579335793358
2021-2022,Stafford County,Mountain View High,M,1454,826,628,174,63,111,996,284,1170,647,523,2022,EOC,SOL,High School,30.928764652840396,11.966987620357635,7.627118644067797,17.67515923566879,80.46767537826685,78.32929782082324,83.28025477707006
2021-2022,Stafford County,North Stafford High,F,1186,677,509,84,21,63,812,290,896,508,388,2022,EOC,SOL,High School,11.234705228031146,7.082630691399664,3.10192023633678,12.37721021611002,75.54806070826307,75.03692762186115,76.2278978388998
2021-2022,Stafford County,North Stafford High,M,1320,761,559,111,29,82,890,319,1001,580,421,2022,EOC,SOL,High School,28.792569659442723,8.409090909090908,3.8107752956636007,14.669051878354203,75.83333333333333,76.21550591327201,75.31305903398928
2021-2022,Stafford County,Stafford Senior High,F,1351,782,569,104,16,88,722,525,826,438,388,2022,EOC,SOL,High School,15.228426395939088,7.6980014803849,2.0460358056265986,15.465729349736378,61.13989637305699,56.01023017902813,68.18980667838312
2021-2022,Stafford County,Stafford Senior High,M,1427,826,601,117,25,92,745,565,862,441,421,2022,EOC,SOL,High School,30.410447761194032,8.199018920812893,3.026634382566586,15.307820299500833,60.406447091800985,53.38983050847458,70.04991680532446
2021-2022,Staunton City,Staunton High,F,619,301,318,69,14,55,384,166,453,206,247,2022,EOC,SOL,High School,0.4889975550122249,11.147011308562197,4.651162790697675,17.29559748427673,73.18255250403877,68.43853820598007,77.67295597484278
2021-2022,Staunton City,Staunton High,M,652,332,320,90,28,62,397,165,487,245,242,2022,EOC,SOL,High School,1.3856812933025404,13.803680981595093,8.433734939759036,19.375,74.69325153374233,73.79518072289156,75.625
2021-2022,Suffolk City,King's Fork High,F,1359,644,715,68,6,62,732,559,800,367,433,2022,EOC,SOL,High School,1.3580246913580247,5.003679175864606,0.9316770186335404,8.67132867132867,58.86681383370125,56.98757763975155,60.55944055944056
2021-2022,Suffolk City,King's Fork High,M,1362,639,723,73,12,61,725,564,798,369,429,2022,EOC,SOL,High School,1.4994232987312572,5.359765051395008,1.8779342723004695,8.437067773167358,58.590308370044056,57.74647887323944,59.33609958506224
2021-2022,Suffolk City,Lakeland High,F,861,355,506,42,4,38,455,364,497,197,300,2022,EOC,SOL,High School,0.8756567425569177,4.878048780487805,1.1267605633802817,7.5098814229249005,57.72357723577236,55.49295774647888,59.28853754940712
2021-2022,Suffolk City,Lakeland High,M,761,309,452,41,9,32,416,304,457,183,274,2022,EOC,SOL,High School,3.508771929824561,5.387647831800263,2.912621359223301,7.079646017699115,60.05256241787122,59.22330097087378,60.61946902654868
2021-2022,Suffolk City,Nansemond River High,F,1286,603,683,132,21,111,827,327,959,431,528,2022,EOC,SOL,High School,0.48602673147023084,10.26438569206843,3.482587064676617,16.251830161054173,74.57231726283048,71.4759535655058,77.30600292825768
2021-2022,Suffolk City,Nansemond River High,M,1234,602,632,124,19,105,759,351,883,424,459,2022,EOC,SOL,High School,3.464755077658303,10.048622366288493,3.1561461794019934,16.61392405063291,71.55591572123177,70.43189368770764,72.62658227848101
2021-2022,Surry County,Surry County High,F,135,49,86,12,1,11,102,21,114,44,70,2022,EOC,SOL,High School,7.2727272727272725,8.88888888888889,2.0408163265306123,12.790697674418606,84.44444444444444,89.79591836734694,81.3953488372093
2021-2022,Surry County,Surry County High,M,150,53,97,4,1,3,100,46,104,39,65,2022,EOC,SOL,High School,14.529914529914532,2.666666666666667,1.8867924528301887,3.0927835051546393,69.33333333333334,73.58490566037736,67.0103092783505
2021-2022,Sussex County,Sussex Central High,F,293,137,156,17,1,16,183,93,200,84,116,2022,EOC,SOL,High School,11.612903225806452,5.802047781569966,0.7299270072992701,10.256410256410255,68.25938566552901,61.31386861313869,74.35897435897436
2021-2022,Sussex County,Sussex Central High,M,332,165,167,18,2,16,200,114,218,98,120,2022,EOC,SOL,High School,32.48407643312102,5.421686746987952,1.2121212121212122,9.580838323353294,65.66265060240963,59.3939393939394,71.8562874251497
2021-2022,Tazewell County,Graham High,F,211,58,153,42,3,39,144,25,186,53,133,2022,EOC,SOL,High School,25.454545454545453,19.90521327014218,5.172413793103448,25.49019607843137,88.15165876777252,91.37931034482759,86.9281045751634
2021-2022,Tazewell County,Graham High,M,260,65,195,49,10,39,190,21,239,59,180,2022,EOC,SOL,High School,38.43416370106761,18.846153846153847,15.384615384615385,20.0,91.92307692307692,90.76923076923077,92.3076923076923
2021-2022,Tazewell County,Richlands High,F,364,154,210,41,11,30,253,70,294,130,164,2022,EOC,SOL,High School,7.228915662650602,11.263736263736265,7.142857142857142,14.285714285714285,80.76923076923077,84.4155844155844,78.0952380952381
2021-2022,Tazewell County,Richlands High,M,306,117,189,45,9,36,219,42,264,104,160,2022,EOC,SOL,High School,20.461095100864554,14.705882352941178,7.6923076923076925,19.047619047619047,86.27450980392157,88.88888888888889,84.65608465608466
2021-2022,Tazewell County,Tazewell High,F,290,107,183,53,11,42,214,23,267,101,166,2022,EOC,SOL,High School,14.46280991735537,18.275862068965516,10.2803738317757,22.950819672131146,92.06896551724138,94.39252336448598,90.7103825136612
2021-2022,Tazewell County,Tazewell High,M,227,86,141,45,13,32,159,23,204,80,124,2022,EOC,SOL,High School,12.648221343873518,19.823788546255507,15.11627906976744,22.69503546099291,89.86784140969164,93.02325581395348,87.94326241134752
2021-2022,Virginia Beach City,Bayside High,F,1377,561,816,177,27,150,815,385,992,404,588,2022,EOC,SOL,High School,4.994686503719448,12.854030501089325,4.81283422459893,18.38235294117647,72.0406681190995,72.01426024955437,72.05882352941177
2021-2022,Virginia Beach City,Bayside High,M,1325,562,763,95,22,73,781,449,876,385,491,2022,EOC,SOL,High School,8.323959505061868,7.169811320754717,3.9145907473309607,9.567496723460026,66.11320754716982,68.50533807829181,64.35124508519003
2021-2022,Virginia Beach City,First Colonial High,F,1214,502,712,161,22,139,847,206,1008,423,585,2022,EOC,SOL,High School,8.685714285714285,13.261943986820429,4.382470119521913,19.52247191011236,83.03130148270182,84.26294820717132,82.16292134831461
2021-2022,Virginia Beach City,First Colonial High,M,1156,461,695,132,21,111,779,245,911,364,547,2022,EOC,SOL,High School,12.943871706758307,11.418685121107266,4.55531453362256,15.971223021582734,78.80622837370242,78.95878524945769,78.70503597122303
2021-2022,Virginia Beach City,Floyd Kellam High,F,1212,456,756,224,25,199,825,163,1049,395,654,2022,EOC,SOL,High School,4.166666666666666,18.48184818481848,5.482456140350877,26.322751322751326,86.55115511551155,86.62280701754386,86.5079365079365
2021-2022,Virginia Beach City,Floyd Kellam High,M,1243,476,767,180,22,158,908,155,1088,416,672,2022,EOC,SOL,High School,12.124352331606218,14.481094127111827,4.621848739495799,20.59973924380704,87.53016894609816,87.39495798319328,87.61408083441981
2021-2022,Virginia Beach City,Frank W. Cox High,F,1068,400,668,177,29,148,706,185,883,337,546,2022,EOC,SOL,High School,7.518796992481203,16.573033707865168,7.249999999999999,22.15568862275449,82.67790262172284,84.25,81.73652694610777
2021-2022,Virginia Beach City,Frank W. Cox High,M,1167,506,661,166,42,124,835,166,1001,426,575,2022,EOC,SOL,High School,12.296983758700696,14.224507283633248,8.300395256916996,18.759455370650528,85.77549271636676,84.18972332015811,86.9894099848714
2021-2022,Virginia Beach City,Green Run Collegiate,F,318,102,216,34,9,25,221,63,255,80,175,2022,EOC,SOL,High School,,10.69182389937107,8.823529411764707,11.574074074074074,80.18867924528303,78.43137254901961,81.01851851851852
2021-2022,Virginia Beach City,Green Run Collegiate,M,284,127,157,33,4,29,211,40,244,107,137,2022,EOC,SOL,High School,,11.619718309859154,3.149606299212598,18.471337579617835,85.91549295774648,84.25196850393701,87.26114649681529
2021-2022,Virginia Beach City,Green Run High,F,960,393,567,60,8,52,593,307,653,281,372,2022,EOC,SOL,High School,4.179566563467492,6.25,2.035623409669211,9.171075837742503,68.02083333333333,71.50127226463104,65.60846560846561
2021-2022,Virginia Beach City,Green Run High,M,1094,439,655,99,17,82,667,328,766,318,448,2022,EOC,SOL,High School,7.317073170731707,9.049360146252285,3.8724373576309796,12.51908396946565,70.018281535649,72.4373576309795,68.3969465648855
2021-2022,Virginia Beach City,Kempsville High,F,1262,523,739,115,10,105,855,292,970,422,548,2022,EOC,SOL,High School,8.904109589041095,9.112519809825674,1.9120458891013385,14.208389715832206,76.8621236133122,80.68833652007649,74.15426251691474
2021-2022,Virginia Beach City,Kempsville High,M,1423,584,839,136,20,116,945,342,1081,453,628,2022,EOC,SOL,High School,15.345005149330587,9.557273366127898,3.4246575342465753,13.825983313468415,75.96626844694308,77.56849315068493,74.85101311084624
2021-2022,Virginia Beach City,Landstown High,F,1310,479,831,160,31,129,852,298,1012,374,638,2022,EOC,SOL,High School,6.7596566523605155,12.213740458015266,6.471816283924843,15.523465703971121,77.25190839694656,78.07933194154488,76.77496991576413
2021-2022,Virginia Beach City,Landstown High,M,1664,627,1037,281,68,213,1071,312,1352,520,832,2022,EOC,SOL,High School,19.866999168744805,16.887019230769234,10.845295055821373,20.540019286403087,81.25,82.93460925039872,80.23143683702989
2021-2022,Virginia Beach City,Ocean Lakes High,F,1252,512,740,291,75,216,810,151,1101,448,653,2022,EOC,SOL,High School,9.201773835920177,23.242811501597444,14.6484375,29.18918918918919,87.93929712460063,87.5,88.24324324324324
2021-2022,Virginia Beach City,Ocean Lakes High,M,1290,531,759,324,102,222,753,213,1077,437,640,2022,EOC,SOL,High School,19.980506822612085,25.116279069767444,19.2090395480226,29.249011857707508,83.48837209302326,82.29755178907722,84.32147562582345
2021-2022,Virginia Beach City,Princess Anne High,F,1195,505,690,296,75,221,735,164,1031,433,598,2022,EOC,SOL,High School,9.208972845336481,24.769874476987447,14.85148514851485,32.028985507246375,86.27615062761507,85.74257425742574,86.66666666666667
2021-2022,Virginia Beach City,Princess Anne High,M,1107,482,625,248,56,192,663,196,911,397,514,2022,EOC,SOL,High School,16.29353233830846,22.40289069557362,11.618257261410788,30.72,82.29448961156278,82.36514522821577,82.24000000000001
2021-2022,Virginia Beach City,Salem High,F,1363,640,723,224,36,188,919,220,1143,521,622,2022,EOC,SOL,High School,5.154639175257731,16.434336023477623,5.625,26.00276625172891,83.85913426265591,81.40625,86.03042876901799
2021-2022,Virginia Beach City,Salem High,M,1115,551,564,162,31,131,735,218,897,430,467,2022,EOC,SOL,High School,15.646258503401361,14.52914798206278,5.626134301270418,23.22695035460993,80.44843049327353,78.0399274047187,82.80141843971631
2021-2022,Virginia Beach City,Tallwood High,F,1297,505,792,186,19,167,914,197,1100,434,666,2022,EOC,SOL,High School,1.6163793103448276,14.340786430223593,3.762376237623762,21.085858585858585,84.81110254433307,85.94059405940594,84.0909090909091
2021-2022,Virginia Beach City,Tallwood High,M,1221,511,710,145,23,122,792,284,937,399,538,2022,EOC,SOL,High School,8.274231678486997,11.875511875511876,4.500978473581213,17.183098591549296,76.74037674037673,78.08219178082192,75.77464788732394
2021-2022,Warren County,Skyline High,F,483,238,245,30,8,22,304,149,334,176,158,2022,EOC,SOL,High School,1.3824884792626728,6.211180124223603,3.361344537815126,8.979591836734693,69.15113871635612,73.94957983193278,64.48979591836735
2021-2022,Warren County,Skyline High,M,529,259,270,34,11,23,298,197,332,179,153,2022,EOC,SOL,High School,3.153153153153153,6.427221172022684,4.247104247104247,8.518518518518519,62.75992438563327,69.1119691119691,56.666666666666664
2021-2022,Warren County,Warren County High,F,418,208,210,43,12,31,267,108,310,165,145,2022,EOC,SOL,High School,,10.287081339712918,5.769230769230769,14.761904761904763,74.16267942583733,79.32692307692307,69.04761904761905
2021-2022,Warren County,Warren County High,M,529,258,271,48,15,33,349,132,397,200,197,2022,EOC,SOL,High School,,9.073724007561438,5.813953488372093,12.177121771217712,75.04725897920605,77.51937984496125,72.69372693726937
2021-2022,Washington County,Abingdon High,F,386,239,147,51,11,40,264,71,315,205,110,2022,EOC,SOL,High School,,13.21243523316062,4.602510460251046,27.2108843537415,81.60621761658031,85.77405857740585,74.82993197278913
2021-2022,Washington County,Abingdon High,M,329,210,119,49,18,31,229,51,278,178,100,2022,EOC,SOL,High School,,14.893617021276595,8.571428571428571,26.05042016806723,84.49848024316108,84.76190476190476,84.03361344537815
2021-2022,Washington County,Holston High,F,100,71,29,17,9,8,77,6,94,65,29,2022,EOC,SOL,High School,,17.0,12.676056338028168,27.586206896551722,94.0,91.54929577464789,100.0
2021-2022,Washington County,Holston High,M,109,75,34,12,4,8,83,14,95,64,31,2022,EOC,SOL,High School,,11.009174311926607,5.333333333333334,23.52941176470588,87.1559633027523,85.33333333333334,91.17647058823529
2021-2022,Washington County,John S. Battle High,F,293,189,104,35,10,25,208,50,243,149,94,2022,EOC,SOL,High School,,11.945392491467576,5.291005291005291,24.03846153846154,82.93515358361775,78.83597883597884,90.38461538461539
2021-2022,Washington County,John S. Battle High,M,249,171,78,24,8,16,193,32,217,145,72,2022,EOC,SOL,High School,,9.63855421686747,4.678362573099415,20.51282051282051,87.14859437751004,84.7953216374269,92.3076923076923
2021-2022,Washington County,Patrick Henry High,F,139,99,40,20,10,10,103,16,123,90,33,2022,EOC,SOL,High School,,14.388489208633093,10.1010101010101,25.0,88.48920863309353,90.9090909090909,82.5
2021-2022,Washington County,Patrick Henry High,M,148,97,51,18,4,14,111,19,129,84,45,2022,EOC,SOL,High School,,12.162162162162163,4.123711340206185,27.450980392156865,87.16216216216216,86.5979381443299,88.23529411764706
2021-2022,Waynesboro City,Waynesboro High,F,496,255,241,22,3,19,273,201,295,156,139,2022,EOC,SOL,High School,0.23866348448687352,4.435483870967742,1.1764705882352942,7.883817427385892,59.4758064516129,61.1764705882353,57.676348547717836
2021-2022,Waynesboro City,Waynesboro High,M,531,270,261,39,10,29,269,223,308,150,158,2022,EOC,SOL,High School,0.0,7.344632768361582,3.7037037037037033,11.11111111111111,58.00376647834275,55.55555555555556,60.53639846743295
2021-2022,Westmoreland County,Westmoreland High,F,290,144,146,16,5,11,170,104,186,104,82,2022,EOC,SOL,High School,9.691629955947137,5.517241379310345,3.4722222222222223,7.534246575342466,64.13793103448275,72.22222222222221,56.16438356164384
2021-2022,Westmoreland County,Westmoreland High,M,374,185,189,17,4,13,211,146,228,124,104,2022,EOC,SOL,High School,10.81081081081081,4.545454545454546,2.1621621621621623,6.878306878306878,60.962566844919785,67.02702702702703,55.026455026455025
2021-2022,Williamsburg-James City County,Jamestown High,F,876,393,483,143,28,115,556,177,699,322,377,2022,EOC,SOL,High School,1.6556291390728477,16.32420091324201,7.124681933842239,23.809523809523807,79.7945205479452,81.93384223918575,78.05383022774328
2021-2022,Williamsburg-James City County,Jamestown High,M,906,419,487,171,50,121,549,186,720,341,379,2022,EOC,SOL,High School,10.954616588419405,18.874172185430464,11.933174224343675,24.84599589322382,79.47019867549669,81.38424821002387,77.82340862422998
2021-2022,Williamsburg-James City County,Lafayette High,F,809,363,446,55,8,47,540,214,595,276,319,2022,EOC,SOL,High School,0.8960573476702508,6.798516687268233,2.203856749311295,10.538116591928251,73.54758961681088,76.03305785123968,71.52466367713004
2021-2022,Williamsburg-James City County,Lafayette High,M,955,448,507,114,38,76,562,279,676,329,347,2022,EOC,SOL,High School,8.24742268041237,11.937172774869111,8.482142857142858,14.990138067061142,70.78534031413612,73.4375,68.44181459566076
2021-2022,Williamsburg-James City County,Warhill High,F,1113,536,577,125,29,96,667,321,792,369,423,2022,EOC,SOL,High School,3.303303303303303,11.230907457322552,5.410447761194029,16.63778162911612,71.15902964959568,68.84328358208955,73.3102253032929
2021-2022,Williamsburg-James City County,Warhill High,M,1128,546,582,124,35,89,637,367,761,373,388,2022,EOC,SOL,High School,10.237388724035608,10.99290780141844,6.41025641025641,15.292096219931272,67.4645390070922,68.31501831501832,66.66666666666666
2021-2022,Winchester City,John Handley High,F,868,372,496,112,11,101,433,323,545,217,328,2022,EOC,SOL,High School,7.605177993527508,12.903225806451612,2.956989247311828,20.362903225806452,62.78801843317973,58.333333333333336,66.12903225806451
2021-2022,Winchester City,John Handley High,M,970,448,522,130,31,99,537,303,667,306,361,2022,EOC,SOL,High School,20.885200553250346,13.402061855670103,6.919642857142858,18.96551724137931,68.76288659793815,68.30357142857143,69.15708812260536
2021-2022,Wise County,Central High,F,377,162,215,70,13,57,264,43,334,150,184,2022,EOC,SOL,High School,0.35211267605633806,18.56763925729443,8.024691358024691,26.51162790697674,88.59416445623343,92.5925925925926,85.5813953488372
