school_year,division_name,school_name,total_count,total_count_stem,total_count_non_stem,pass_advanced_count,pass_advanced_count_stem,pass_advanced_count_non_stem,pass_proficient_count,fail_count,pass_count,pass_count_stem,pass_count_non_stem,year,test_level,test_source,school_level,CS_enrollment_rate,pass_advanced_rate,pass_advanced_rate_stem,pass_advanced_rate_non_stem,pass_rate,pass_rate_stem,pass_rate_non_stem
2021-2022,Accomack County,Arcadia High,1021,408,613,57,15,42,539,425,596,274,322,2022,EOC,SOL,High School,,5.582761998041136,3.6764705882352944,6.851549755301795,58.3741429970617,67.15686274509804,52.52854812398042
2021-2022,Accomack County,Chincoteague High,219,90,129,40,10,30,133,46,173,80,93,2022,EOC,SOL,High School,,18.2648401826484,11.11111111111111,23.25581395348837,78.99543378995433,88.88888888888889,72.09302325581395
2021-2022,Accomack County,Nandua High,893,335,558,78,24,54,553,262,631,279,352,2022,EOC,SOL,High School,,8.734602463605823,7.164179104477612,9.67741935483871,70.66069428891377,83.28358208955224,63.08243727598566
2021-2022,Albemarle County,Albemarle High,2413,1299,1114,325,96,229,1279,809,1604,825,779,2022,EOC,SOL,High School,8.220603537981269,13.468711147948612,7.390300230946882,20.556552962298024,66.47326978864484,63.51039260969977,69.92818671454219
2021-2022,Albemarle County,Community Lab School,177,116,61,14,9,5,125,38,139,92,47,2022,EOC,SOL,High School,1.6042780748663104,7.909604519774012,7.758620689655173,8.19672131147541,78.53107344632768,79.3103448275862,77.04918032786885
2021-2022,Albemarle County,Monticello High,1477,808,669,135,32,103,862,480,997,490,507,2022,EOC,SOL,High School,5.983606557377049,9.140148950575492,3.9603960396039604,15.396113602391628,67.50169262017603,60.64356435643564,75.7847533632287
2021-2022,Albemarle County,Western Albemarle High,1478,794,684,290,91,199,919,269,1209,624,585,2022,EOC,SOL,High School,9.92234685073339,19.621109607577807,11.460957178841308,29.093567251461987,81.79972936400542,78.58942065491183,85.52631578947368
2021-2022,Alexandria City,Alexandria City High,6367,2927,3440,596,122,474,2753,3018,3349,1395,1954,2022,EOC,SOL,High School,2.133938706015891,9.36076645201822,4.168090194738641,13.77906976744186,52.59934034867284,47.65971984967543,56.80232558139535
2021-2022,Alleghany County,Alleghany High,884,351,533,64,13,51,484,336,548,228,320,2022,EOC,SOL,High School,3.9383561643835616,7.239819004524888,3.7037037037037033,9.568480300187618,61.990950226244344,64.95726495726495,60.0375234521576
2021-2022,Amelia County,Amelia County High,732,425,307,36,8,28,437,259,473,280,193,2022,EOC,SOL,High School,5.465587044534413,4.918032786885246,1.8823529411764703,9.120521172638437,64.61748633879782,65.88235294117646,62.866449511400646
2021-2022,Amherst County,Amherst County High,1376,666,710,132,14,118,783,461,915,412,503,2022,EOC,SOL,High School,,9.593023255813954,2.1021021021021022,16.619718309859156,66.49709302325581,61.86186186186187,70.84507042253522
2021-2022,Appomattox County,Appomattox County High,874,382,492,65,9,56,599,210,664,293,371,2022,EOC,SOL,High School,,7.437070938215102,2.356020942408377,11.38211382113821,75.97254004576659,76.70157068062828,75.40650406504065
2021-2022,Arlington County,Arlington Community High,55,11,44,6,1,5,38,11,44,8,36,2022,EOC,SOL,High School,,10.909090909090908,9.090909090909092,11.363636363636363,80.0,72.72727272727273,81.81818181818183
2021-2022,Arlington County,Wakefield High,3466,1709,1757,547,116,431,1997,922,2544,1225,1319,2022,EOC,SOL,High School,11.275167785234899,15.781881130986728,6.787595084844939,24.530449630051223,73.39873052510099,71.6793446459918,75.07114399544679
2021-2022,Arlington County,Washington-Liberty High,2969,1464,1505,817,228,589,1586,566,2403,1166,1237,2022,EOC,SOL,High School,10.046082949308756,27.517682721455035,15.573770491803279,39.136212624584715,80.93634220276186,79.6448087431694,82.19269102990033
2021-2022,Arlington County,Yorktown High,2967,1403,1564,862,214,648,1796,309,2658,1242,1416,2022,EOC,SOL,High School,11.594202898550725,29.052915402763734,15.25302922309337,41.432225063938624,89.58543983822042,88.52459016393442,90.53708439897699
2021-2022,Augusta County,Buffalo Gap High,735,368,367,98,38,60,507,130,605,309,296,2022,EOC,SOL,High School,2.455357142857143,13.333333333333334,10.326086956521738,16.348773841961854,82.31292517006803,83.96739130434783,80.65395095367847
2021-2022,Augusta County,Fort Defiance High,1047,457,590,178,31,147,696,173,874,388,486,2022,EOC,SOL,High School,1.7931034482758619,17.00095510983763,6.783369803063458,24.91525423728814,83.47659980897804,84.9015317286652,82.37288135593221
2021-2022,Augusta County,Riverheads High,734,376,358,100,34,66,523,111,623,317,306,2022,EOC,SOL,High School,0.851063829787234,13.623978201634879,9.042553191489363,18.435754189944134,84.87738419618529,84.30851063829788,85.47486033519553
2021-2022,Augusta County,Stuarts Draft High,1101,552,549,131,34,97,708,262,839,397,442,2022,EOC,SOL,High School,1.9746121297602257,11.89827429609446,6.159420289855073,17.66848816029144,76.20345140781109,71.92028985507247,80.51001821493625
2021-2022,Augusta County,Wilson Memorial High,1287,681,606,175,49,126,857,255,1032,530,502,2022,EOC,SOL,High School,4.337050805452292,13.597513597513597,7.195301027900147,20.792079207920793,80.1864801864802,77.82672540381792,82.83828382838284
2021-2022,Bath County,Bath County High,183,78,105,22,2,20,132,29,154,68,86,2022,EOC,SOL,High School,,12.021857923497267,2.564102564102564,19.047619047619047,84.15300546448088,87.17948717948718,81.9047619047619
2021-2022,Bedford County,Jefferson Forest High,1396,639,757,293,65,228,883,220,1176,539,637,2022,EOC,SOL,High School,10.202492211838006,20.988538681948423,10.172143974960877,30.11889035667107,84.2406876790831,84.35054773082942,84.14795244385733
2021-2022,Bedford County,Liberty High,782,433,349,73,19,54,497,212,570,321,249,2022,EOC,SOL,High School,2.0891364902506964,9.335038363171355,4.387990762124711,15.472779369627506,72.89002557544757,74.13394919168591,71.34670487106017
2021-2022,Bedford County,Staunton River High,1097,614,483,85,16,69,624,388,709,401,308,2022,EOC,SOL,High School,6.630434782608696,7.748404740200547,2.6058631921824107,14.285714285714285,64.63081130355515,65.30944625407166,63.76811594202898
2021-2022,Bland County,Bland County High,355,185,170,46,16,30,249,60,295,151,144,2022,EOC,SOL,High School,,12.957746478873238,8.64864864864865,17.647058823529413,83.09859154929578,81.62162162162161,84.70588235294117
2021-2022,Botetourt County,James River High,535,284,251,39,8,31,402,94,441,226,215,2022,EOC,SOL,High School,,7.289719626168225,2.8169014084507045,12.350597609561753,82.42990654205607,79.5774647887324,85.65737051792829
2021-2022,Botetourt County,Lord Botetourt High,1125,633,492,140,50,90,780,205,920,509,411,2022,EOC,SOL,High School,,12.444444444444445,7.898894154818326,18.29268292682927,81.77777777777779,80.41074249605056,83.53658536585365
2021-2022,Bristol City,Virginia High,704,373,331,68,24,44,418,218,486,270,216,2022,EOC,SOL,High School,,9.659090909090908,6.434316353887399,13.293051359516618,69.0340909090909,72.38605898123325,65.25679758308158
2021-2022,Brunswick County,Brunswick High,628,265,363,28,2,26,331,269,359,148,211,2022,EOC,SOL,High School,16.32183908045977,4.45859872611465,0.7547169811320755,7.162534435261708,57.16560509554141,55.84905660377358,58.1267217630854
2021-2022,Buchanan County,Council High,87,50,37,7,4,3,60,20,67,40,27,2022,EOC,SOL,High School,21.6,8.045977011494253,8.0,8.108108108108109,77.01149425287356,80.0,72.97297297297297
2021-2022,Buchanan County,Grundy High,550,290,260,27,2,25,358,165,385,205,180,2022,EOC,SOL,High School,,4.909090909090909,0.6896551724137931,9.615384615384617,70.0,70.6896551724138,69.23076923076923
2021-2022,Buchanan County,Hurley High,191,84,107,16,3,13,125,50,141,55,86,2022,EOC,SOL,High School,48.81516587677725,8.37696335078534,3.571428571428571,12.149532710280374,73.82198952879581,65.47619047619048,80.37383177570094
2021-2022,Buchanan County,Twin Valley High,229,110,119,22,3,19,142,65,164,75,89,2022,EOC,SOL,High School,,9.606986899563319,2.727272727272727,15.966386554621847,71.61572052401746,68.18181818181817,74.78991596638656
2021-2022,Buckingham County,Buckingham County High,773,307,466,45,10,35,486,242,531,231,300,2022,EOC,SOL,High School,,5.821474773609314,3.257328990228013,7.510729613733906,68.69340232858991,75.2442996742671,64.37768240343348
2021-2022,Buena Vista City,Parry McCluer High,454,212,242,27,9,18,280,147,307,155,152,2022,EOC,SOL,High School,,5.947136563876652,4.245283018867925,7.43801652892562,67.62114537444934,73.11320754716981,62.8099173553719
2021-2022,Campbell County,Altavista High,565,356,209,28,4,24,334,203,362,219,143,2022,EOC,SOL,High School,0.29455081001472755,4.95575221238938,1.1235955056179776,11.483253588516746,64.070796460177,61.51685393258427,68.42105263157895
2021-2022,Campbell County,Brookville High,987,500,487,99,28,71,727,161,826,415,411,2022,EOC,SOL,High School,2.4922118380062304,10.030395136778116,5.6000000000000005,14.579055441478438,83.68794326241135,83.0,84.39425051334702
2021-2022,Campbell County,Rustburg High,829,407,422,89,32,57,613,127,702,352,350,2022,EOC,SOL,High School,0.26041666666666663,10.735826296743065,7.862407862407863,13.507109004739338,84.68033775633293,86.48648648648648,82.93838862559242
2021-2022,Campbell County,William Campbell High,331,199,132,17,4,13,202,112,219,131,88,2022,EOC,SOL,High School,0.5089058524173028,5.13595166163142,2.0100502512562812,9.848484848484848,66.16314199395771,65.82914572864321,66.66666666666666
2021-2022,Caroline County,Caroline High,1666,736,930,113,11,102,977,576,1090,496,594,2022,EOC,SOL,High School,,6.782713085234093,1.4945652173913044,10.967741935483872,65.42617046818727,67.3913043478261,63.87096774193548
2021-2022,Carroll County,Carroll County High,1492,829,663,142,38,104,870,480,1012,560,452,2022,EOC,SOL,High School,4.480457578646329,9.517426273458444,4.583835946924005,15.686274509803921,67.828418230563,67.55126658624849,68.17496229260935
2021-2022,Charles City County,Charles City County High,196,101,95,13,4,9,119,64,132,58,74,2022,EOC,SOL,High School,1.6877637130801686,6.63265306122449,3.9603960396039604,9.473684210526317,67.3469387755102,57.42574257425742,77.89473684210526
2021-2022,Charlotte County,Randolph-Henry High,613,234,379,67,14,53,381,165,448,185,263,2022,EOC,SOL,High School,,10.929853181076671,5.982905982905983,13.984168865435356,73.08319738988581,79.05982905982906,69.39313984168865
2021-2022,Charlottesville City,Charlottesville High,1351,687,664,215,81,134,759,377,974,506,468,2022,EOC,SOL,High School,3.7037037037037033,15.914137675795706,11.790393013100436,20.180722891566266,72.09474463360473,73.65356622998544,70.48192771084338
2021-2022,Chesapeake City,Deep Creek High,2421,1170,1251,332,100,232,1533,556,1865,895,970,2022,EOC,SOL,High School,,13.713341594382486,8.547008547008547,18.545163868904876,77.03428335398596,76.49572649572649,77.53796962430056
2021-2022,Chesapeake City,Grassfield High,3431,1552,1879,916,257,659,2195,320,3111,1398,1713,2022,EOC,SOL,High School,1.2334801762114538,26.69775575633926,16.559278350515463,35.071846726982436,90.6732730982221,90.07731958762886,91.16551357104842
2021-2022,Chesapeake City,Great Bridge High,2522,1144,1378,413,90,323,1721,388,2134,939,1195,2022,EOC,SOL,High School,1.1083743842364533,16.375892149088024,7.8671328671328675,23.439767779390422,84.61538461538461,82.08041958041959,86.71988388969521
2021-2022,Chesapeake City,Hickory High,2333,1128,1205,498,158,340,1598,237,2096,1029,1067,2022,EOC,SOL,High School,1.2453300124533,21.345906558079726,14.00709219858156,28.21576763485477,89.84140591513074,91.22340425531915,88.54771784232365
2021-2022,Chesapeake City,Indian River High,2473,1107,1366,225,34,191,1598,650,1823,826,997,2022,EOC,SOL,High School,0.3597122302158274,9.09826122118884,3.071364046973803,13.98243045387994,73.71613424989891,74.61607949412827,72.98682284040996
2021-2022,Chesapeake City,Oscar F. Smith High,3224,1381,1843,300,69,231,1892,1032,2192,1029,1163,2022,EOC,SOL,High School,0.04502476361999099,9.305210918114144,4.996379435191891,12.533912099837222,67.99007444168734,74.51122375090515,63.10363537710255
2021-2022,Chesapeake City,Western Branch High,3236,1452,1784,374,89,285,2149,713,2523,1147,1376,2022,EOC,SOL,High School,1.044138585666825,11.557478368355994,6.129476584022039,15.975336322869953,77.96662546353524,78.99449035812673,77.13004484304933
2021-2022,Chesterfield County,Carver College and Career Academy,291,129,162,2,1,1,110,179,112,44,68,2022,EOC,SOL,High School,0.4761904761904762,0.6872852233676976,0.7751937984496124,0.6172839506172839,38.48797250859107,34.10852713178294,41.9753086419753
2021-2022,Chesterfield County,Clover Hill High,2574,1135,1439,431,137,294,1411,732,1842,743,1099,2022,EOC,SOL,High School,12.360801781737193,16.744366744366744,12.070484581497798,20.430854760250174,71.56177156177156,65.4625550660793,76.3724808895066
2021-2022,Chesterfield County,Cosby High,3421,1524,1897,524,117,407,2479,418,3003,1321,1682,2022,EOC,SOL,High School,7.161234991423671,15.317158725518853,7.677165354330709,21.454928835002633,87.78135048231512,86.67979002624672,88.66631523458092
2021-2022,Chesterfield County,James River High,2724,1180,1544,326,62,264,1531,867,1857,698,1159,2022,EOC,SOL,High School,1.3541666666666667,11.96769456681351,5.2542372881355925,17.098445595854923,68.17180616740089,59.152542372881356,75.06476683937824
2021-2022,Chesterfield County,Lloyd C. Bird High,2648,1278,1370,158,24,134,1431,1059,1589,731,858,2022,EOC,SOL,High School,6.978021978021978,5.966767371601208,1.8779342723004695,9.781021897810218,60.00755287009063,57.19874804381847,62.62773722627737
2021-2022,Chesterfield County,Manchester High,3568,1677,1891,244,31,213,2273,1051,2517,1115,1402,2022,EOC,SOL,High School,6.684733514001806,6.838565022421525,1.8485390578413834,11.263881544156531,70.54372197309418,66.48777579010137,74.14066631411951
2021-2022,Chesterfield County,Matoaca High,2305,1089,1216,154,22,132,1307,844,1461,641,820,2022,EOC,SOL,High School,15.970961887477314,6.68112798264642,2.0202020202020203,10.855263157894738,63.38394793926248,58.8613406795225,67.43421052631578
2021-2022,Chesterfield County,Meadowbrook High,3451,1590,1861,82,16,66,1274,2095,1356,555,801,2022,EOC,SOL,High School,8.552317247969423,2.3761228629382787,1.0062893081761006,3.5464803868887693,39.29295856273544,34.90566037735849,43.0413756045137
2021-2022,Chesterfield County,Midlothian High,2926,1254,1672,502,106,396,1980,444,2482,1024,1458,2022,EOC,SOL,High School,9.769539078156313,17.15652768284347,8.452950558213717,23.684210526315788,84.8257006151743,81.65869218500798,87.20095693779905
2021-2022,Chesterfield County,Monacan High,2363,1053,1310,241,52,189,1448,674,1689,717,972,2022,EOC,SOL,High School,1.6738995660260385,10.198899703766399,4.938271604938271,14.427480916030536,71.47693609818027,68.09116809116809,74.19847328244275
2021-2022,Chesterfield County,Thomas Dale High,3632,1668,1964,226,27,199,2056,1350,2282,948,1334,2022,EOC,SOL,High School,6.021756021756022,6.222466960352422,1.618705035971223,10.132382892057027,62.830396475770925,56.83453237410072,67.92260692464357
2021-2022,Clarke County,Clarke County High,887,397,490,127,36,91,603,157,730,325,405,2022,EOC,SOL,High School,0.29411764705882354,14.317925591882751,9.06801007556675,18.571428571428573,82.2998872604284,81.86397984886649,82.6530612244898
2021-2022,Colonial Beach,Colonial Beach High,213,130,83,6,4,2,104,103,110,85,25,2022,EOC,SOL,High School,8.547008547008547,2.8169014084507045,3.076923076923077,2.4096385542168677,51.64319248826291,65.38461538461539,30.120481927710845
2021-2022,Colonial Heights City,Colonial Heights High,867,413,454,101,32,69,601,165,702,370,332,2022,EOC,SOL,High School,6.115107913669065,11.649365628604382,7.74818401937046,15.198237885462554,80.96885813148789,89.58837772397095,73.12775330396477
2021-2022,Covington City,Covington High,391,190,201,17,5,12,223,151,240,123,117,2022,EOC,SOL,High School,15.714285714285714,4.3478260869565215,2.631578947368421,5.970149253731343,61.38107416879796,64.73684210526316,58.2089552238806
2021-2022,Craig County,Craig County High,253,113,140,18,8,10,153,82,171,88,83,2022,EOC,SOL,High School,,7.114624505928854,7.079646017699115,7.142857142857142,67.58893280632411,77.87610619469027,59.285714285714285
2021-2022,Culpeper County,Culpeper County High,1627,691,936,138,39,99,943,546,1081,454,627,2022,EOC,SOL,High School,9.39318370739817,8.481868469575907,5.643994211287988,10.576923076923077,66.44130301167793,65.70188133140377,66.98717948717949
2021-2022,Culpeper County,Eastern View High,2206,941,1265,252,55,197,1327,627,1579,661,918,2022,EOC,SOL,High School,6.534272901985906,11.423390752493201,5.844845908607864,15.573122529644268,71.57751586582049,70.24442082890542,72.56916996047431
2021-2022,Cumberland County,Cumberland High,627,294,333,46,6,40,307,274,353,147,206,2022,EOC,SOL,High School,21.179624664879356,7.336523125996811,2.0408163265306123,12.012012012012011,56.29984051036683,50.0,61.86186186186187
2021-2022,Danville City,Galileo Magnet High,354,146,208,60,18,42,222,72,282,119,163,2022,EOC,SOL,High School,11.904761904761903,16.94915254237288,12.32876712328767,20.192307692307693,79.66101694915254,81.5068493150685,78.36538461538461
2021-2022,Danville City,George Washington High,2249,1015,1234,54,13,41,852,1343,906,414,492,2022,EOC,SOL,High School,6.5549890750182085,2.401067140951534,1.2807881773399015,3.322528363047002,40.28457092040907,40.78817733990148,39.87034035656402
2021-2022,Dickenson County,Ridgeview High,667,331,336,44,13,31,444,179,488,257,231,2022,EOC,SOL,High School,,6.5967016491754125,3.927492447129909,9.226190476190476,73.16341829085458,77.64350453172206,68.75
2021-2022,Dinwiddie County,Dinwiddie County High,2070,1009,1061,154,52,102,1213,703,1367,691,676,2022,EOC,SOL,High School,1.7001545595054095,7.439613526570048,5.153617443012884,9.613572101790764,66.03864734299518,68.48364717542121,63.71347785108389
2021-2022,Essex County,Essex High,525,295,230,22,2,20,316,187,338,205,133,2022,EOC,SOL,High School,,4.190476190476191,0.6779661016949152,8.695652173913043,64.38095238095238,69.49152542372882,57.826086956521735
2021-2022,Fairfax County,Annandale High,1852,1325,527,174,83,91,1129,549,1303,915,388,2022,EOC,SOL,High School,15.222272114952851,9.395248380129589,6.264150943396227,17.267552182163186,70.35637149028078,69.0566037735849,73.62428842504744
2021-2022,Fairfax County,Bryant High,156,85,71,2,1,1,67,87,69,42,27,2022,EOC,SOL,High School,0.7092198581560284,1.282051282051282,1.1764705882352942,1.4084507042253522,44.230769230769226,49.411764705882355,38.028169014084504
2021-2022,Fairfax County,Centreville High,2271,1400,871,475,179,296,1392,404,1867,1101,766,2022,EOC,SOL,High School,19.696379914363565,20.915896081021575,12.785714285714286,33.98392652123995,82.21047996477323,78.64285714285715,87.94489092996555
2021-2022,Fairfax County,Chantilly High,2268,1519,749,628,308,320,1390,250,2018,1323,695,2022,EOC,SOL,High School,24.69429347826087,27.689594356261022,20.276497695852534,42.72363150867824,88.97707231040565,87.09677419354838,92.79038718291055
2021-2022,Fairfax County,Edison High,1877,1262,615,241,76,165,1206,430,1447,958,489,2022,EOC,SOL,High School,22.987974098057354,12.839637719765584,6.022187004754358,26.82926829268293,77.09110282365477,75.91125198098257,79.51219512195122
2021-2022,Fairfax County,Fairfax County Adult High,133,78,55,0,0,0,23,110,23,22,1,2022,EOC,SOL,High School,,0.0,0.0,0.0,17.293233082706767,28.205128205128204,1.8181818181818181
2021-2022,Fairfax County,Fairfax High,2133,1199,934,485,161,324,1298,350,1783,947,836,2022,EOC,SOL,High School,15.923009623797025,22.73792780121894,13.427856547122602,34.68950749464668,83.5911861228317,78.98248540450375,89.50749464668094
2021-2022,Fairfax County,Falls Church High,1650,1179,471,134,62,72,948,568,1082,762,320,2022,EOC,SOL,High School,12.703252032520327,8.121212121212121,5.258693808312128,15.286624203821656,65.57575757575758,64.63104325699746,67.94055201698514
2021-2022,Fairfax County,Hayfield Secondary,2059,1427,632,274,107,167,1317,468,1591,1088,503,2022,EOC,SOL,High School,10.629279426149331,13.30743079164643,7.498248072880168,26.424050632911396,77.2705196697426,76.2438682550806,79.58860759493672
2021-2022,Fairfax County,Herndon High,2800,1346,1454,430,91,339,1579,791,2009,950,1059,2022,EOC,SOL,High School,12.963771278917502,15.357142857142858,6.760772659732541,23.31499312242091,71.75,70.57949479940565,72.83356258596973
2021-2022,Fairfax County,Justice High,2232,1357,875,231,70,161,1243,758,1474,883,591,2022,EOC,SOL,High School,8.870598994055785,10.349462365591398,5.158437730287399,18.4,66.0394265232975,65.07000736919676,67.54285714285714
2021-2022,Fairfax County,Lake Braddock Secondary,2910,2207,703,810,475,335,1819,281,2629,1970,659,2022,EOC,SOL,High School,14.210163255920902,27.835051546391753,21.52242863615768,47.652916073968704,90.34364261168385,89.26144086995922,93.74110953058322
2021-2022,Fairfax County,Langley High,1704,1124,580,633,342,291,996,75,1629,1070,559,2022,EOC,SOL,High School,19.891944990176817,37.147887323943664,30.427046263345197,50.172413793103445,95.59859154929578,95.19572953736655,96.37931034482759
2021-2022,Fairfax County,Lewis High,1481,999,482,116,37,79,894,471,1010,674,336,2022,EOC,SOL,High School,16.092636579572446,7.832545577312626,3.7037037037037033,16.390041493775932,68.19716407832546,67.46746746746747,69.70954356846472
2021-2022,Fairfax County,Madison High,1764,1128,636,527,242,285,1077,160,1604,1026,578,2022,EOC,SOL,High School,20.41742286751361,29.875283446712018,21.45390070921986,44.81132075471698,90.9297052154195,90.95744680851064,90.88050314465409
2021-2022,Fairfax County,Marshall High,1698,1161,537,436,219,217,1114,148,1550,1049,501,2022,EOC,SOL,High School,19.49317738791423,25.677267373380445,18.863049095607234,40.4096834264432,91.28386336866903,90.35314384151593,93.29608938547486
2021-2022,Fairfax County,McLean High,2590,1361,1229,889,367,522,1478,223,2367,1216,1151,2022,EOC,SOL,High School,24.574105621805792,34.32432432432432,26.965466568699487,42.47355573637103,91.3899613899614,89.3460690668626,93.653376729048
2021-2022,Fairfax County,Mount Vernon High,1734,1206,528,83,31,52,992,659,1075,738,337,2022,EOC,SOL,High School,15.965092402464066,4.786620530565167,2.570480928689884,9.848484848484848,61.99538638985006,61.19402985074627,63.82575757575758
2021-2022,Fairfax County,Mountain View High,104,58,46,2,1,1,39,63,41,29,12,2022,EOC,SOL,High School,,1.9230769230769231,1.7241379310344827,2.1739130434782608,39.42307692307692,50.0,26.08695652173913
2021-2022,Fairfax County,Oakton High,1999,1332,667,690,327,363,1177,132,1867,1236,631,2022,EOC,SOL,High School,24.390243902439025,34.517258629314654,24.54954954954955,54.42278860569715,93.39669834917459,92.7927927927928,94.60269865067467
2021-2022,Fairfax County,Robinson Secondary,2475,1708,767,609,286,323,1668,198,2277,1536,741,2022,EOC,SOL,High School,13.462061463149306,24.606060606060606,16.74473067915691,42.11212516297262,92.0,89.92974238875878,96.61016949152543
2021-2022,Fairfax County,South County High,2547,1330,1217,404,118,286,1601,542,2005,974,1031,2022,EOC,SOL,High School,16.55658300308234,15.861798193953671,8.87218045112782,23.500410846343467,78.72006281900275,73.23308270676692,84.71651602300739
2021-2022,Fairfax County,South Lakes High,2050,1364,686,356,147,209,1214,480,1570,1016,554,2022,EOC,SOL,High School,17.093343836155967,17.365853658536583,10.777126099706745,30.466472303207,76.58536585365854,74.48680351906158,80.75801749271136
2021-2022,Fairfax County,Thomas Jefferson High for Science and Technology,1762,915,847,1115,477,638,638,9,1753,908,845,2022,EOC,SOL,High School,79.65299684542587,63.280363223609534,52.131147540983605,75.32467532467533,99.48921679909193,99.23497267759562,99.76387249114522
2021-2022,Fairfax County,West Potomac High,2205,1492,713,224,39,185,1289,692,1513,957,556,2022,EOC,SOL,High School,12.373072583678073,10.158730158730158,2.613941018766756,25.94670406732118,68.61678004535148,64.14209115281501,77.98036465638148
2021-2022,Fairfax County,West Springfield High,2389,1429,960,723,268,455,1470,196,2193,1295,898,2022,EOC,SOL,High School,18.463347706781654,30.263708664713267,18.754373687893633,47.39583333333333,91.79573043114274,90.62281315605318,93.54166666666667
