School Year,Division Number,Division Name,School Number,School Name,Subject,Disadvantaged,Test Level,Test Source,Pass Advanced Count,Pass Proficient Count,Fail Count,Pass Count,Total Count,Pass Advanced Rate,Pass Proficient Rate,Fail Rate,Pass Rate,Average SOL Scaled Score
2021-2022,15,Buckingham County ,700,Buckingham County High,English:Reading,N,EOC,SOL,              14,              74,              17,              88,             105,    13.33,    70.48,    16.19,    83.81,  442
2021-2022,15,Buckingham County ,700,Buckingham County High,English:Reading,Y,EOC,SOL,               4,              22,               9,              26,              35,    11.43,    62.86,    25.71,    74.29,  433
2021-2022,15,Buckingham County ,700,Buckingham County High,English:Writing,N,EOC,SOL,              13,              77,              32,              90,             122,    10.66,    63.11,    26.23,    73.77,  427
2021-2022,15,Buckingham County ,700,Buckingham County High,History and Social Science,N,EOC,SOL,               3,              75,              67,              78,             145,     2.07,    51.72,    46.21,    53.79,  403
2021-2022,15,Buckingham County ,700,Buckingham County High,History and Social Science,Y,EOC,SOL,               1,              17,              41,              18,              59,     1.69,    28.81,    69.49,    30.51,  382
2021-2022,15,Buckingham County ,700,Buckingham County High,Mathematics,N,EOC,SOL,               4,              81,              10,              85,              95,     4.21,    85.26,    10.53,    89.47,  430
2021-2022,15,Buckingham County ,700,Buckingham County High,Mathematics,Y,EOC,SOL,               0,              57,              13,              57,              70,      .00,    81.43,    18.57,    81.43,  421
2021-2022,15,Buckingham County ,700,Buckingham County High,Science,N,EOC,SOL,               6,              54,              29,              60,              89,     6.74,    60.67,    32.58,    67.42,  418
2021-2022,15,Buckingham County ,700,Buckingham County High,Science,Y,EOC,SOL,               0,              29,              24,              29,              53,      .00,    54.72,    45.28,    54.72,  404
2021-2022,15,Buckingham County ,721,Buckingham County Middle,Mathematics,N,EOC,SOL,               6,              26,               1,              32,              33,    18.18,    78.79,     3.03,    96.97,  454
2021-2022,15,Buckingham County ,721,Buckingham County Middle,Mathematics,Y,EOC,SOL,               3,              17,               0,              20,              20,    15.00,    85.00,      .00,100.00,  459
2021-2022,103,Buena Vista City ,62,Parry McCluer High,English:Reading,N,EOC,SOL,               7,              30,               5,              37,              42,    16.67,    71.43,    11.90,    88.10,  447
2021-2022,103,Buena Vista City ,62,Parry McCluer High,English:Reading,Y,EOC,SOL,               3,              21,               7,              24,              31,     9.68,    67.74,    22.58,    77.42,  427
2021-2022,103,Buena Vista City ,62,Parry McCluer High,English:Writing,N,EOC,SOL,               3,              26,              11,              29,              40,     7.50,    65.00,    27.50,    72.50,  434
2021-2022,103,Buena Vista City ,62,Parry McCluer High,English:Writing,Y,EOC,SOL,               3,              15,              13,              18,              31,     9.68,    48.39,    41.94,    58.06,  411
2021-2022,103,Buena Vista City ,62,Parry McCluer High,History and Social Science,N,EOC,SOL,               1,              25,              26,              26,              52,     1.92,    48.08,    50.00,    50.00,  395
2021-2022,103,Buena Vista City ,62,Parry McCluer High,History and Social Science,Y,EOC,SOL,               1,              17,              28,              18,              46,     2.17,    36.96,    60.87,    39.13,  390
2021-2022,103,Buena Vista City ,62,Parry McCluer High,Mathematics,N,EOC,SOL,               3,              38,               8,              41,              49,     6.12,    77.55,    16.33,    83.67,  439
2021-2022,103,Buena Vista City ,62,Parry McCluer High,Mathematics,Y,EOC,SOL,               1,              27,               6,              28,              34,     2.94,    79.41,    17.65,    82.35,  433
2021-2022,103,Buena Vista City ,62,Parry McCluer High,Science,N,EOC,SOL,               4,              44,              22,              48,              70,     5.71,    62.86,    31.43,    68.57,  420
2021-2022,103,Buena Vista City ,62,Parry McCluer High,Science,Y,EOC,SOL,               1,              37,              21,              38,              59,     1.69,    62.71,    35.59,    64.41,  406
2021-2022,16,Campbell County ,200,Altavista High,English:Reading,N,EOC,SOL,              11,              29,               6,              40,              46,    23.91,    63.04,    13.04,    86.96,  454
2021-2022,16,Campbell County ,200,Altavista High,English:Reading,Y,EOC,SOL,               9,              23,               7,              32,              39,    23.08,    58.97,    17.95,    82.05,  447
2021-2022,16,Campbell County ,200,Altavista High,History and Social Science,N,EOC,SOL,               3,              39,              19,              42,              61,     4.92,    63.93,    31.15,    68.85,  421
2021-2022,16,Campbell County ,200,Altavista High,History and Social Science,Y,EOC,SOL,               1,              28,              34,              29,              63,     1.59,    44.44,    53.97,    46.03,  402
2021-2022,16,Campbell County ,200,Altavista High,Mathematics,N,EOC,SOL,               1,              58,              16,              59,              75,     1.33,    77.33,    21.33,    78.67,  424
2021-2022,16,Campbell County ,200,Altavista High,Mathematics,Y,EOC,SOL,               0,              37,              32,              37,              69,      .00,    53.62,    46.38,    53.62,  397
2021-2022,16,Campbell County ,200,Altavista High,Science,N,EOC,SOL,               2,              64,              31,              66,              97,     2.06,    65.98,    31.96,    68.04,  413
2021-2022,16,Campbell County ,200,Altavista High,Science,Y,EOC,SOL,               1,              56,              58,              57,             115,      .87,    48.70,    50.43,    49.57,  395
2021-2022,16,Campbell County ,720,Brookville High,English:Reading,N,EOC,SOL,              30,              90,               6,             120,             126,    23.81,    71.43,     4.76,    95.24,  473
2021-2022,16,Campbell County ,720,Brookville High,English:Reading,Y,EOC,SOL,              13,              54,               5,              67,              72,    18.06,    75.00,     6.94,    93.06,  460
2021-2022,16,Campbell County ,720,Brookville High,English:Writing,N,EOC,SOL,<,<,<,<,<,<,<,>50,<50,
2021-2022,16,Campbell County ,720,Brookville High,History and Social Science,N,EOC,SOL,              23,             112,              32,             135,             167,    13.77,    67.07,    19.16,    80.84,  442
2021-2022,16,Campbell County ,720,Brookville High,History and Social Science,Y,EOC,SOL,               5,              84,              33,              89,             122,     4.10,    68.85,    27.05,    72.95,  419
2021-2022,16,Campbell County ,720,Brookville High,Mathematics,N,EOC,SOL,               5,             143,              10,             148,             158,     3.16,    90.51,     6.33,    93.67,  437
2021-2022,16,Campbell County ,720,Brookville High,Mathematics,Y,EOC,SOL,               3,              98,              14,             101,             115,     2.61,    85.22,    12.17,    87.83,  430
2021-2022,16,Campbell County ,720,Brookville High,Science,N,EOC,SOL,              16,              93,              34,             109,             143,    11.19,    65.03,    23.78,    76.22,  434
2021-2022,16,Campbell County ,720,Brookville High,Science,Y,EOC,SOL,               4,              53,              27,              57,              84,     4.76,    63.10,    32.14,    67.86,  417
2021-2022,16,Campbell County ,20,Brookville Middle,History and Social Science,N,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,16,Campbell County ,20,Brookville Middle,History and Social Science,Y,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,16,Campbell County ,20,Brookville Middle,Mathematics,N,EOC,SOL,               9,              54,               3,              63,              66,    13.64,    81.82,     4.55,    95.45,  448
2021-2022,16,Campbell County ,20,Brookville Middle,Mathematics,Y,EOC,SOL,               0,              26,               2,              26,              28,      .00,    92.86,     7.14,    92.86,  438
2021-2022,16,Campbell County ,20,Brookville Middle,Science,N,EOC,SOL,               9,              96,              33,             105,             138,     6.52,    69.57,    23.91,    76.09,  429
2021-2022,16,Campbell County ,20,Brookville Middle,Science,Y,EOC,SOL,               4,              64,              39,              68,             107,     3.74,    59.81,    36.45,    63.55,  409
2021-2022,16,Campbell County ,222,Rustburg High,English:Reading,N,EOC,SOL,              30,              77,               8,             107,             115,    26.09,    66.96,     6.96,    93.04,  462
2021-2022,16,Campbell County ,222,Rustburg High,English:Reading,Y,EOC,SOL,              10,              59,              12,              69,              81,    12.35,    72.84,    14.81,    85.19,  440
2021-2022,16,Campbell County ,222,Rustburg High,History and Social Science,N,EOC,SOL,              10,              95,              20,             105,             125,     8.00,    76.00,    16.00,    84.00,  439
2021-2022,16,Campbell County ,222,Rustburg High,History and Social Science,Y,EOC,SOL,               7,              62,              32,              69,             101,     6.93,    61.39,    31.68,    68.32,  422
2021-2022,16,Campbell County ,222,Rustburg High,Mathematics,N,EOC,SOL,               7,             104,               7,             111,             118,     5.93,    88.14,     5.93,    94.07,  443
2021-2022,16,Campbell County ,222,Rustburg High,Mathematics,Y,EOC,SOL,              10,              85,              10,              95,             105,     9.52,    80.95,     9.52,    90.48,  441
2021-2022,16,Campbell County ,222,Rustburg High,Science,N,EOC,SOL,               9,              78,              13,              87,             100,     9.00,    78.00,    13.00,    87.00,  439
2021-2022,16,Campbell County ,222,Rustburg High,Science,Y,EOC,SOL,               6,              53,              25,              59,              84,     7.14,    63.10,    29.76,    70.24,  418
2021-2022,16,Campbell County ,211,Rustburg Middle,Mathematics,N,EOC,SOL,              11,              38,               1,              49,              50,    22.00,    76.00,     2.00,    98.00,  478
2021-2022,16,Campbell County ,211,Rustburg Middle,Mathematics,Y,EOC,SOL,               5,              12,               0,              17,              17,    29.41,    70.59,      .00,100.00,  475
2021-2022,16,Campbell County ,211,Rustburg Middle,Science,N,EOC,SOL,               6,              72,              26,              78,             104,     5.77,    69.23,    25.00,    75.00,  431
2021-2022,16,Campbell County ,211,Rustburg Middle,Science,Y,EOC,SOL,               1,              52,              50,              53,             103,      .97,    50.49,    48.54,    51.46,  388
2021-2022,16,Campbell County ,542,William Campbell High,English:Reading,N,EOC,SOL,               6,              18,               5,              24,              29,    20.69,    62.07,    17.24,    82.76,  453
2021-2022,16,Campbell County ,542,William Campbell High,English:Reading,Y,EOC,SOL,               5,              19,               9,              24,              33,    15.15,    57.58,    27.27,    72.73,  431
2021-2022,16,Campbell County ,542,William Campbell High,History and Social Science,N,EOC,SOL,               2,              18,               6,              20,              26,     7.69,    69.23,    23.08,    76.92,  433
2021-2022,16,Campbell County ,542,William Campbell High,History and Social Science,Y,EOC,SOL,               0,              20,              24,              20,              44,      .00,    45.45,    54.55,    45.45,  390
2021-2022,16,Campbell County ,542,William Campbell High,Mathematics,N,EOC,SOL,               1,              28,               8,              29,              37,     2.70,    75.68,    21.62,    78.38,  420
2021-2022,16,Campbell County ,542,William Campbell High,Mathematics,Y,EOC,SOL,               0,              31,              19,              31,              50,      .00,    62.00,    38.00,    62.00,  407
2021-2022,16,Campbell County ,542,William Campbell High,Science,N,EOC,SOL,               2,              34,               8,              36,              44,     4.55,    77.27,    18.18,    81.82,  421
2021-2022,16,Campbell County ,542,William Campbell High,Science,Y,EOC,SOL,               1,              34,              33,              35,              68,     1.47,    50.00,    48.53,    51.47,  395
2021-2022,17,Caroline County ,460,Caroline High,English:Reading,N,EOC,SOL,              48,             111,              25,             159,             184,    26.09,    60.33,    13.59,    86.41,  462
2021-2022,17,Caroline County ,460,Caroline High,English:Reading,Y,EOC,SOL,              14,              76,              39,              90,             129,    10.85,    58.91,    30.23,    69.77,  429
2021-2022,17,Caroline County ,460,Caroline High,English:Writing,N,EOC,SOL,              27,              94,              44,             121,             165,    16.36,    56.97,    26.67,    73.33,  439
2021-2022,17,Caroline County ,460,Caroline High,English:Writing,Y,EOC,SOL,               7,              61,              56,              68,             124,     5.65,    49.19,    45.16,    54.84,  402
2021-2022,17,Caroline County ,460,Caroline High,History and Social Science,N,EOC,SOL,               4,              89,              70,              93,             163,     2.45,    54.60,    42.94,    57.06,  406
2021-2022,17,Caroline County ,460,Caroline High,History and Social Science,Y,EOC,SOL,               2,              61,             102,              63,             165,     1.21,    36.97,    61.82,    38.18,  387
2021-2022,17,Caroline County ,460,Caroline High,Mathematics,N,EOC,SOL,               1,             158,              54,             159,             213,      .47,    74.18,    25.35,    74.65,  414
2021-2022,17,Caroline County ,460,Caroline High,Mathematics,Y,EOC,SOL,               0,             115,              55,             115,             170,      .00,    67.65,    32.35,    67.65,  406
2021-2022,17,Caroline County ,460,Caroline High,Science,N,EOC,SOL,               8,             134,              52,             142,             194,     4.12,    69.07,    26.80,    73.20,  424
2021-2022,17,Caroline County ,460,Caroline High,Science,Y,EOC,SOL,               2,              78,              79,              80,             159,     1.26,    49.06,    49.69,    50.31,  398
2021-2022,17,Caroline County ,450,Caroline Middle,History and Social Science,N,EOC,SOL,               5,              20,               5,              25,              30,    16.67,    66.67,    16.67,    83.33,  433
2021-2022,17,Caroline County ,450,Caroline Middle,History and Social Science,Y,EOC,SOL,               1,              11,              15,              12,              27,     3.70,    40.74,    55.56,    44.44,  400
2021-2022,17,Caroline County ,450,Caroline Middle,Mathematics,N,EOC,SOL,               7,              38,               0,              45,              45,    15.56,    84.44,      .00,100.00,  458
2021-2022,17,Caroline County ,450,Caroline Middle,Mathematics,Y,EOC,SOL,               1,               9,               0,              10,              10,    10.00,    90.00,      .00,100.00,  457
2021-2022,17,Caroline County ,450,Caroline Middle,Science,N,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,18,Carroll County ,1230,Carroll County High,English:Reading,N,EOC,SOL,              37,              82,              16,             119,             135,    27.41,    60.74,    11.85,    88.15,  463
2021-2022,18,Carroll County ,1230,Carroll County High,English:Reading,Y,EOC,SOL,              18,             101,              33,             119,             152,    11.84,    66.45,    21.71,    78.29,  435
2021-2022,18,Carroll County ,1230,Carroll County High,English:Writing,N,EOC,SOL,              33,              70,              39,             103,             142,    23.24,    49.30,    27.46,    72.54,  438
2021-2022,18,Carroll County ,1230,Carroll County High,English:Writing,Y,EOC,SOL,              16,              80,              55,              96,             151,    10.60,    52.98,    36.42,    63.58,  424
2021-2022,18,Carroll County ,1230,Carroll County High,History and Social Science,N,EOC,SOL,               0,               9,              17,               9,              26,      .00,    34.62,    65.38,    34.62,  385
2021-2022,18,Carroll County ,1230,Carroll County High,History and Social Science,Y,EOC,SOL,               0,               6,              51,               6,              57,      .00,    10.53,    89.47,    10.53,  361
2021-2022,18,Carroll County ,1230,Carroll County High,Mathematics,N,EOC,SOL,               2,              98,              13,             100,             113,     1.77,    86.73,    11.50,    88.50,  425
2021-2022,18,Carroll County ,1230,Carroll County High,Mathematics,Y,EOC,SOL,               2,             124,              39,             126,             165,     1.21,    75.15,    23.64,    76.36,  415
2021-2022,18,Carroll County ,1230,Carroll County High,Science,N,EOC,SOL,              27,             142,              60,             169,             229,    11.79,    62.01,    26.20,    73.80,  428
2021-2022,18,Carroll County ,1230,Carroll County High,Science,Y,EOC,SOL,               7,             158,             157,             165,             322,     2.17,    49.07,    48.76,    51.24,  401
2021-2022,18,Carroll County ,450,Carroll County Middle,History and Social Science,N,EOC,SOL,              13,              82,              27,              95,             122,    10.66,    67.21,    22.13,    77.87,  430
2021-2022,18,Carroll County ,450,Carroll County Middle,History and Social Science,Y,EOC,SOL,               9,             105,              52,             114,             166,     5.42,    63.25,    31.33,    68.67,  422
2021-2022,18,Carroll County ,450,Carroll County Middle,Mathematics,N,EOC,SOL,              10,              36,               0,              46,              46,    21.74,    78.26,      .00,100.00,  474
2021-2022,18,Carroll County ,450,Carroll County Middle,Mathematics,Y,EOC,SOL,               5,              18,               0,              23,              23,    21.74,    78.26,      .00,100.00,  473
2021-2022,19,Charles City County ,100,Charles City County High,English:Reading,N,EOC,SOL,               6,              14,               4,              20,              24,    25.00,    58.33,    16.67,    83.33,  455
2021-2022,19,Charles City County ,100,Charles City County High,English:Reading,Y,EOC,SOL,               2,              20,               6,              22,              28,     7.14,    71.43,    21.43,    78.57,  425
2021-2022,19,Charles City County ,100,Charles City County High,English:Writing,N,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,19,Charles City County ,100,Charles City County High,History and Social Science,N,EOC,SOL,               0,              11,               5,              11,              16,      .00,    68.75,    31.25,    68.75,  413
2021-2022,19,Charles City County ,100,Charles City County High,History and Social Science,Y,EOC,SOL,               1,              20,               6,              21,              27,     3.70,    74.07,    22.22,    77.78,  428
2021-2022,19,Charles City County ,100,Charles City County High,Mathematics,N,EOC,SOL,               1,              12,              12,              13,              25,     4.00,    48.00,    48.00,    52.00,  400
2021-2022,19,Charles City County ,100,Charles City County High,Mathematics,Y,EOC,SOL,               0,              16,              14,              16,              30,      .00,    53.33,    46.67,    53.33,  398
2021-2022,19,Charles City County ,100,Charles City County High,Science,N,EOC,SOL,               1,              15,               5,              16,              21,     4.76,    71.43,    23.81,    76.19,  429
2021-2022,19,Charles City County ,100,Charles City County High,Science,Y,EOC,SOL,               2,              11,              12,              13,              25,     8.00,    44.00,    48.00,    52.00,  403
2021-2022,20,Charlotte County ,210,Central Middle,Mathematics,N,EOC,SOL,               3,               8,               0,              11,              11,    27.27,    72.73,      .00,100.00,  485
2021-2022,20,Charlotte County ,210,Central Middle,Mathematics,Y,EOC,SOL,<,<,<,<,<,<,<,<50,>50,  476
2021-2022,20,Charlotte County ,460,Randolph-Henry High,English:Reading,N,EOC,SOL,              31,              36,               4,              67,              71,    43.66,    50.70,     5.63,    94.37,  480
2021-2022,20,Charlotte County ,460,Randolph-Henry High,English:Reading,Y,EOC,SOL,               3,              39,               9,              42,              51,     5.88,    76.47,    17.65,    82.35,  426
2021-2022,20,Charlotte County ,460,Randolph-Henry High,English:Writing,N,EOC,SOL,               9,              31,              13,              40,              53,    16.98,    58.49,    24.53,    75.47,  442
2021-2022,20,Charlotte County ,460,Randolph-Henry High,English:Writing,Y,EOC,SOL,               4,              40,              36,              44,              80,     5.00,    50.00,    45.00,    55.00,  402
2021-2022,20,Charlotte County ,460,Randolph-Henry High,History and Social Science,N,EOC,SOL,               5,              36,              12,              41,              53,     9.43,    67.92,    22.64,    77.36,  423
2021-2022,20,Charlotte County ,460,Randolph-Henry High,History and Social Science,Y,EOC,SOL,               1,              28,              42,              29,              71,     1.41,    39.44,    59.15,    40.85,  393
2021-2022,20,Charlotte County ,460,Randolph-Henry High,Mathematics,N,EOC,SOL,               0,              44,               7,              44,              51,      .00,    86.27,    13.73,    86.27,  428
2021-2022,20,Charlotte County ,460,Randolph-Henry High,Mathematics,Y,EOC,SOL,               3,              46,              17,              49,              66,     4.55,    69.70,    25.76,    74.24,  410
2021-2022,20,Charlotte County ,460,Randolph-Henry High,Science,N,EOC,SOL,               8,              33,              11,              41,              52,    15.38,    63.46,    21.15,    78.85,  443
2021-2022,20,Charlotte County ,460,Randolph-Henry High,Science,Y,EOC,SOL,               3,              48,              14,              51,              65,     4.62,    73.85,    21.54,    78.46,  423
2021-2022,104,Charlottesville City ,100,Buford Middle,Mathematics,N,EOC,SOL,              30,              92,               6,             122,             128,    23.44,    71.88,     4.69,    95.31,  469
2021-2022,104,Charlottesville City ,100,Buford Middle,Mathematics,Y,EOC,SOL,               0,              28,               8,              28,              36,      .00,    77.78,    22.22,    77.78,  421
2021-2022,104,Charlottesville City ,140,Charlottesville High,English:Reading,N,EOC,SOL,              84,              60,               9,             144,             153,    54.90,    39.22,     5.88,    94.12,  498
2021-2022,104,Charlottesville City ,140,Charlottesville High,English:Reading,Y,EOC,SOL,              12,              70,              41,              82,             123,     9.76,    56.91,    33.33,    66.67,  424
2021-2022,104,Charlottesville City ,140,Charlottesville High,History and Social Science,N,EOC,SOL,              36,             137,              30,             173,             203,    17.73,    67.49,    14.78,    85.22,  453
2021-2022,104,Charlottesville City ,140,Charlottesville High,History and Social Science,Y,EOC,SOL,               2,              67,             116,              69,             185,     1.08,    36.22,    62.70,    37.30,  383
2021-2022,104,Charlottesville City ,140,Charlottesville High,Mathematics,N,EOC,SOL,              17,             164,              31,             181,             212,     8.02,    77.36,    14.62,    85.38,  439
2021-2022,104,Charlottesville City ,140,Charlottesville High,Mathematics,Y,EOC,SOL,               0,              92,              51,              92,             143,      .00,    64.34,    35.66,    64.34,  405
2021-2022,104,Charlottesville City ,140,Charlottesville High,Science,N,EOC,SOL,              60,             109,              27,             169,             196,    30.61,    55.61,    13.78,    86.22,  469
2021-2022,104,Charlottesville City ,140,Charlottesville High,Science,Y,EOC,SOL,               4,              60,              72,              64,             136,     2.94,    44.12,    52.94,    47.06,  395
2021-2022,136,Chesapeake City ,560,Crestwood Middle,History and Social Science,Y,EOC,SOL,<,<,<,<,<,<,<,>50,<50,
2021-2022,136,Chesapeake City ,560,Crestwood Middle,Mathematics,N,EOC,SOL,              10,              30,               0,              40,              40,    25.00,    75.00,      .00,100.00,  459
2021-2022,136,Chesapeake City ,560,Crestwood Middle,Mathematics,Y,EOC,SOL,               1,              29,               2,              30,              32,     3.13,    90.63,     6.25,    93.75,  433
2021-2022,136,Chesapeake City ,560,Crestwood Middle,Science,N,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,136,Chesapeake City ,560,Crestwood Middle,Science,Y,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,136,Chesapeake City ,100,Deep Creek High,English:Reading,N,EOC,SOL,              56,             138,              15,             194,             209,    26.79,    66.03,     7.18,    92.82,  468
2021-2022,136,Chesapeake City ,100,Deep Creek High,English:Reading,Y,EOC,SOL,              27,             116,              28,             143,             171,    15.79,    67.84,    16.37,    83.63,  443
2021-2022,136,Chesapeake City ,100,Deep Creek High,English:Writing,N,EOC,SOL,              55,             125,              31,             180,             211,    26.07,    59.24,    14.69,    85.31,  461
2021-2022,136,Chesapeake City ,100,Deep Creek High,English:Writing,Y,EOC,SOL,              22,              95,              61,             117,             178,    12.36,    53.37,    34.27,    65.73,  420
2021-2022,136,Chesapeake City ,100,Deep Creek High,History and Social Science,N,EOC,SOL,              55,             141,              37,             196,             233,    23.61,    60.52,    15.88,    84.12,  453
2021-2022,136,Chesapeake City ,100,Deep Creek High,History and Social Science,Y,EOC,SOL,              17,             123,             109,             140,             249,     6.83,    49.40,    43.78,    56.22,  409
2021-2022,136,Chesapeake City ,100,Deep Creek High,Mathematics,N,EOC,SOL,              23,             186,              32,             209,             241,     9.54,    77.18,    13.28,    86.72,  441
2021-2022,136,Chesapeake City ,100,Deep Creek High,Mathematics,Y,EOC,SOL,               9,             180,              66,             189,             255,     3.53,    70.59,    25.88,    74.12,  418
2021-2022,136,Chesapeake City ,100,Deep Creek High,Science,N,EOC,SOL,              56,             254,              62,             310,             372,    15.05,    68.28,    16.67,    83.33,  445
2021-2022,136,Chesapeake City ,100,Deep Creek High,Science,Y,EOC,SOL,              12,             175,             115,             187,             302,     3.97,    57.95,    38.08,    61.92,  411
2021-2022,136,Chesapeake City ,610,Deep Creek Middle,Mathematics,N,EOC,SOL,              11,              41,               0,              52,              52,    21.15,    78.85,      .00,100.00,  473
2021-2022,136,Chesapeake City ,610,Deep Creek Middle,Mathematics,Y,EOC,SOL,               2,              22,               1,              24,              25,     8.00,    88.00,     4.00,    96.00,  445
2021-2022,136,Chesapeake City ,960,Grassfield High,English:Reading,N,EOC,SOL,             196,             279,              21,             475,             496,    39.52,    56.25,     4.23,    95.77,  483
2021-2022,136,Chesapeake City ,960,Grassfield High,English:Reading,Y,EOC,SOL,              24,              55,               6,              79,              85,    28.24,    64.71,     7.06,    92.94,  471
2021-2022,136,Chesapeake City ,960,Grassfield High,English:Writing,N,EOC,SOL,             211,             254,              43,             465,             508,    41.54,    50.00,     8.46,    91.54,  485
2021-2022,136,Chesapeake City ,960,Grassfield High,English:Writing,Y,EOC,SOL,              30,              47,              12,              77,              89,    33.71,    52.81,    13.48,    86.52,  467
2021-2022,136,Chesapeake City ,960,Grassfield High,History and Social Science,N,EOC,SOL,             182,             357,              57,             539,             596,    30.54,    59.90,     9.56,    90.44,  473
2021-2022,136,Chesapeake City ,960,Grassfield High,History and Social Science,Y,EOC,SOL,              16,              62,              27,              78,             105,    15.24,    59.05,    25.71,    74.29,  435
2021-2022,136,Chesapeake City ,960,Grassfield High,Mathematics,N,EOC,SOL,              71,             451,              39,             522,             561,    12.66,    80.39,     6.95,    93.05,  450
