School Year,Division Number,Division Name,School Number,School Name,Subject,Test Level,Test Source,Pass Advanced Count,Pass Proficient Count,Fail Count,Pass Count,Total Count,Pass Advanced Rate,Pass Proficient Rate,Fail Rate,Pass Rate,Average SOL Scaled Score
2021-2022,21,Chesterfield County ,880,Tomahawk Creek Middle,Mathematics,EOC,SOL,             141,             346,              72,             487,             559,    25.22,    61.90,    12.88,    87.12,  454
2021-2022,21,Chesterfield County ,880,Tomahawk Creek Middle,Science,EOC,SOL,              41,             253,               9,             294,             303,    13.53,    83.50,     2.97,    97.03,  461
2021-2022,22,Clarke County ,10,Clarke County High,English:Reading,EOC,SOL,              35,              95,              15,             130,             145,    24.14,    65.52,    10.34,    89.66,  463
2021-2022,22,Clarke County ,10,Clarke County High,English:Writing,EOC,SOL,              36,              87,              24,             123,             147,    24.49,    59.18,    16.33,    83.67,  458
2021-2022,22,Clarke County ,10,Clarke County High,History and Social Science,EOC,SOL,              20,             132,              46,             152,             198,    10.10,    66.67,    23.23,    76.77,  433
2021-2022,22,Clarke County ,10,Clarke County High,Mathematics,EOC,SOL,               6,             171,              26,             177,             203,     2.96,    84.24,    12.81,    87.19,  432
2021-2022,22,Clarke County ,10,Clarke County High,Science,EOC,SOL,              30,             118,              46,             148,             194,    15.46,    60.82,    23.71,    76.29,  439
2021-2022,22,Clarke County ,280,Johnson-Williams Middle,Mathematics,EOC,SOL,              16,              50,               0,              66,              66,    24.24,    75.76,      .00,100.00,  475
2021-2022,202,Colonial Beach ,21,Colonial Beach High,History and Social Science,EOC,SOL,               2,              23,              58,              25,              83,     2.41,    27.71,    69.88,    30.12,  386
2021-2022,202,Colonial Beach ,21,Colonial Beach High,Mathematics,EOC,SOL,               4,              52,              21,              56,              77,     5.19,    67.53,    27.27,    72.73,  425
2021-2022,202,Colonial Beach ,21,Colonial Beach High,Science,EOC,SOL,               0,              29,              24,              29,              53,      .00,    54.72,    45.28,    54.72,  402
2021-2022,106,Colonial Heights City ,40,Colonial Heights High,English:Reading,EOC,SOL,              44,             132,              29,             176,             205,    21.46,    64.39,    14.15,    85.85,  456
2021-2022,106,Colonial Heights City ,40,Colonial Heights High,English:Writing,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,106,Colonial Heights City ,40,Colonial Heights High,History and Social Science,EOC,SOL,              25,             131,              93,             156,             249,    10.04,    52.61,    37.35,    62.65,  421
2021-2022,106,Colonial Heights City ,40,Colonial Heights High,Mathematics,EOC,SOL,              11,             216,              15,             227,             242,     4.55,    89.26,     6.20,    93.80,  437
2021-2022,106,Colonial Heights City ,40,Colonial Heights High,Science,EOC,SOL,              21,             122,              28,             143,             171,    12.28,    71.35,    16.37,    83.63,  439
2021-2022,106,Colonial Heights City ,20,Colonial Heights Middle,Mathematics,EOC,SOL,              18,              55,               0,              73,              73,    24.66,    75.34,      .00,100.00,  472
2021-2022,107,Covington City ,350,Covington High,English:Reading,EOC,SOL,               8,              37,              11,              45,              56,    14.29,    66.07,    19.64,    80.36,  440
2021-2022,107,Covington City ,350,Covington High,English:Writing,EOC,SOL,               3,              36,              21,              39,              60,     5.00,    60.00,    35.00,    65.00,  420
2021-2022,107,Covington City ,350,Covington High,History and Social Science,EOC,SOL,               1,              32,              52,              33,              85,     1.18,    37.65,    61.18,    38.82,  388
2021-2022,107,Covington City ,350,Covington High,Mathematics,EOC,SOL,               2,              59,              35,              61,              96,     2.08,    61.46,    36.46,    63.54,  407
2021-2022,107,Covington City ,350,Covington High,Science,EOC,SOL,               3,              59,              32,              62,              94,     3.19,    62.77,    34.04,    65.96,  416
2021-2022,23,Craig County ,11,Craig County High,English:Reading,EOC,SOL,               5,              29,               6,              34,              40,    12.50,    72.50,    15.00,    85.00,  440
2021-2022,23,Craig County ,11,Craig County High,English:Writing,EOC,SOL,               0,              18,              17,              18,              35,      .00,    51.43,    48.57,    51.43,  394
2021-2022,23,Craig County ,11,Craig County High,History and Social Science,EOC,SOL,               5,              26,              34,              31,              65,     7.69,    40.00,    52.31,    47.69,  408
2021-2022,23,Craig County ,11,Craig County High,Mathematics,EOC,SOL,               6,              51,               9,              57,              66,     9.09,    77.27,    13.64,    86.36,  438
2021-2022,23,Craig County ,11,Craig County High,Science,EOC,SOL,               2,              29,              16,              31,              47,     4.26,    61.70,    34.04,    65.96,  413
2021-2022,24,Culpeper County ,480,Culpeper County High,English:Reading,EOC,SOL,              44,             160,              50,             204,             254,    17.32,    62.99,    19.69,    80.31,  443
2021-2022,24,Culpeper County ,480,Culpeper County High,English:Writing,EOC,SOL,              35,             151,              83,             186,             269,    13.01,    56.13,    30.86,    69.14,  426
2021-2022,24,Culpeper County ,480,Culpeper County High,History and Social Science,EOC,SOL,              20,             217,             176,             237,             413,     4.84,    52.54,    42.62,    57.38,  408
2021-2022,24,Culpeper County ,480,Culpeper County High,Mathematics,EOC,SOL,              10,             234,             121,             244,             365,     2.74,    64.11,    33.15,    66.85,  415
2021-2022,24,Culpeper County ,480,Culpeper County High,Science,EOC,SOL,              29,             181,             116,             210,             326,     8.90,    55.52,    35.58,    64.42,  417
2021-2022,24,Culpeper County ,20,Culpeper Middle,Mathematics,EOC,SOL,              27,             145,               6,             172,             178,    15.17,    81.46,     3.37,    96.63,  460
2021-2022,24,Culpeper County ,50,Eastern View High,English:Reading,EOC,SOL,              89,             229,              55,             318,             373,    23.86,    61.39,    14.75,    85.25,  455
2021-2022,24,Culpeper County ,50,Eastern View High,English:Writing,EOC,SOL,              63,             198,             106,             261,             367,    17.17,    53.95,    28.88,    71.12,  437
2021-2022,24,Culpeper County ,50,Eastern View High,History and Social Science,EOC,SOL,              45,             294,             186,             339,             525,     8.57,    56.00,    35.43,    64.57,  420
2021-2022,24,Culpeper County ,50,Eastern View High,Mathematics,EOC,SOL,              15,             355,             147,             370,             517,     2.90,    68.67,    28.43,    71.57,  418
2021-2022,24,Culpeper County ,50,Eastern View High,Science,EOC,SOL,              40,             251,             133,             291,             424,     9.43,    59.20,    31.37,    68.63,  419
2021-2022,24,Culpeper County ,581,Floyd T. Binns Middle,Mathematics,EOC,SOL,              25,              99,               6,             124,             130,    19.23,    76.15,     4.62,    95.38,  464
2021-2022,25,Cumberland County ,151,Cumberland High,English:Reading,EOC,SOL,              21,              59,              22,              80,             102,    20.59,    57.84,    21.57,    78.43,  442
2021-2022,25,Cumberland County ,151,Cumberland High,English:Writing,EOC,SOL,              12,              49,              38,              61,              99,    12.12,    49.49,    38.38,    61.62,  420
